

----------------------------- GeomagicPen Log -----------------------------
----------------------------- 5/12/2018 4:13:08 PM -----------------------------
5/12/2018 4:13:10 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:10 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:10 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:10 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:10 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:10 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:10 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:10 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:10 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:10 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:10 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:10 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:10 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:10 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:10 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:10 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:10 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:10 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:10 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:10 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:10 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:10 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:10 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:10 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:10 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:10 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:10 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:10 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:10 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:10 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:10 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:10 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:10 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:10 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:10 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:10 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:10 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
5/12/2018 4:13:11 PM | GeomagicPen | Position: (-0.1, 1.1, 0.1)
